,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_eta,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
242,1.5027910232543946,0.008679515884916396,0.01224822998046875,0.0002451951843465855,0.6,0.1,1,7,10,1.0,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 1.0}",-8.486508468110191,-6.789995146838709,-8.357470847398478,-7.657350378840286,-7.039908695465638,-7.66624670733066,0.6798257740100543,64
243,0.8193061828613282,0.00861943603628255,0.012819051742553711,0.0011160505553169191,0.6,0.1,1.5,3,1,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6}",-8.382317040575305,-7.030314662605672,-8.723584741423892,-7.9676450436209,-7.028102518482508,-7.826392801341655,0.6935366049093067,817
244,0.828155517578125,0.006120155757428659,0.011960315704345702,0.0002940066864757316,0.6,0.1,1.5,3,1,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8}",-8.678415743600969,-7.051734452319616,-8.41442653180397,-8.50704826672671,-6.883057591558268,-7.906936517201908,0.7736354502942484,1192
245,0.8125560760498047,0.014561353691073125,0.011519861221313477,0.00012866153416627176,0.6,0.1,1.5,3,1,1.0,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0}",-8.45357893044287,-7.033068073304054,-8.177639572178347,-8.0706680730081,-7.20411274585364,-7.787813478957402,0.5631273237739127,649
246,0.7969202518463134,0.004274581768095706,0.013145351409912109,0.0026615699522287927,0.6,0.1,1.5,3,5,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6}",-8.422534890292743,-7.182757885352577,-8.290209340394075,-7.818789104068979,-7.0095766538694395,-7.7447735747955635,0.5689841863305964,400
247,0.801606559753418,0.007021777893269812,0.01152501106262207,8.439486966445158e-05,0.6,0.1,1.5,3,5,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8}",-8.372680977360565,-6.955115443565989,-8.293862702742837,-8.11183041929874,-6.6694612836169265,-7.680590165317011,0.7196882993682513,94
248,0.8041067123413086,0.010220104216366365,0.011948728561401367,0.00025606078142443857,0.6,0.1,1.5,3,5,1.0,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0}",-8.320072223918816,-7.164647112311306,-8.360539730149565,-8.06087011474301,-6.83703041451184,-7.7486319191269075,0.6277775784050779,436
249,0.7798563003540039,0.012196421554228854,0.011892080307006836,0.00048234116204326353,0.6,0.1,1.5,3,10,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6}",-8.38724099967655,-6.7739494829327676,-8.360577290243116,-8.06899354406042,-7.042620740533522,-7.726676411489275,0.6827851316288439,289
250,0.7882386207580566,0.007514242979762919,0.012868165969848633,0.0022205973836280637,0.6,0.1,1.5,3,10,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8}",-8.41798556347055,-7.106539891457324,-8.207863439013735,-7.89777576497582,-6.820119519904978,-7.690056835764482,0.6226450067830643,136
251,0.7935984611511231,0.01177439627600106,0.012178277969360352,0.00048093835961913003,0.6,0.1,1.5,3,10,1.0,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0}",-8.395397986939596,-6.820508187656865,-8.338135728386545,-7.882818945481352,-6.868409065552983,-7.661053982803469,0.6901715299642102,43
252,1.195123291015625,0.0062959962045937125,0.011839818954467774,0.00027955248505423953,0.6,0.1,1.5,5,1,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6}",-8.733786406662267,-7.073108980172897,-8.41260747951201,-8.062770939015811,-6.847915085132705,-7.8260377780991375,0.741315041530116,814
253,1.2296038150787354,0.006302659391555852,0.012499761581420899,0.00040806963437225725,0.6,0.1,1.5,5,1,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",-8.90221008175411,-7.159496696327507,-8.577200268348756,-8.299415350844084,-7.132498630133255,-8.014164205481542,0.7341381396361528,1318
254,1.2073966026306153,0.011464122074949627,0.012322568893432617,0.0008338989190404885,0.6,0.1,1.5,5,1,1.0,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0}",-8.481524125905393,-7.1121038521409465,-8.407352313468815,-7.605569337845942,-7.182811018726199,-7.757872129617459,0.585901836621626,481
255,1.427712631225586,0.2703980883654712,0.017218017578125,0.004519422351443145,0.6,0.1,1.5,5,5,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6}",-9.150954699014179,-7.210698772068242,-8.376856263689392,-7.730833331038686,-6.8428941637143685,-7.862447445904974,0.8254035228220198,1024
